Compound_ID,SMILES,IC50_nM,pActivity,Measurements,Sources,Scaffold
BCRABL_002039,Cc1ccc(C(=O)Nc2ccc(CN3CCOCC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,78.0,7.107905397309519,1,BindingDB,O=C(Nc1ccc(CN2CCOCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1
BCRABL_002040,Nc1nnc(-c2ccccc2O)cc1N1CC2CCC(C1)N2Cc1ccccc1,79.0,7.102372908709558,1,BindingDB,c1ccc(CN2C3CCC2CN(c2cnnc(-c4ccccc4)c2)C3)cc1
BCRABL_002041,N#Cc1cccc(NC(=O)N2CCOc3ccc(-c4ccncc4)cc3C2)c1,79.0,7.102372908709558,1,BindingDB,O=C(Nc1ccccc1)N1CCOc2ccc(-c3ccncc3)cc2C1
BCRABL_002042,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3C)c(F)c2)ccn1,80.0,7.096910013008056,1,BindingDB,O=C(Nc1ccc(Oc2ccncc2)cc1)Nc1ccn[nH]1
BCRABL_002043,CCCc1ccccc1OCCCOc1cccc(-c2oc(=O)[nH]c2O)c1,80.0,7.096910013008056,1,BindingDB,O=c1[nH]cc(-c2cccc(OCCCOc3ccccc3)c2)o1
BCRABL_002044,C=CCN(C)CCCCCCOc1ccc2c(-c3ccc(Br)cc3)coc2c1,80.0,7.096910013008056,1,BindingDB,c1ccc(-c2coc3ccccc23)cc1
BCRABL_002045,CS(=O)(=O)O.Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(Cl)c2)cc1Nc1nccc(-c2cccnc2)n1,80.0,7.096910013008056,1,ChEMBL,O=C(Nc1cncc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(CN2CCNCC2)cc1
BCRABL_002046,Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,80.0,7.096910013008056,1,BindingDB,c1cc(-c2ccc(CN3CCOCC3)cc2)c2nc(-c3cnn(C4CCNCC4)c3)cnc2c1
BCRABL_002047,Cc1cc(Nc2ncc(C)c(N3CC(O)(C4CC4)C3)n2)sn1,80.0,7.096910013008056,1,BindingDB,c1cc(Nc2nccc(N3CC(C4CC4)C3)n2)sn1
BCRABL_002048,CN(C)CCOc1ccc(C(=O)NCc2cccc(C(=O)N[C@@H](CC(C)(C)C)C(=O)Nc3ccc(Cn4ccnc4)cc3)c2)cc1,80.0,7.096910013008056,1,BindingDB,O=C(CNC(=O)c1cccc(CNC(=O)c2ccccc2)c1)Nc1ccc(Cn2ccnc2)cc1
BCRABL_002049,Cc1oc(-c2ccccc2)nc1CCOc1cccc(C[C@@H]2C(=O)N(c3ccc(C(C)(C)C)cc3)[C@@H]2C(=O)O)c1,80.0,7.096910013008056,1,BindingDB,O=C1C(Cc2cccc(OCCc3coc(-c4ccccc4)n3)c2)CN1c1ccccc1
BCRABL_002050,Cc1ccc(NC(=O)c2ccc(F)cc2)cc1-n1cc(-c2cnc3cccnn23)cn1,80.95,7.091783229754539,2,"BindingDB, ChEMBL",O=C(Nc1cccc(-n2cc(-c3cnc4cccnn34)cn2)c1)c1ccccc1
BCRABL_002051,CCNC(=O)Nc1nc2ccc(-c3cccc(F)c3)cc2[nH]1,81.0,7.091514981121351,1,BindingDB,c1ccc(-c2ccc3nc[nH]c3c2)cc1
BCRABL_002052,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(C=Cc3ccccc3)n2)[nH]n1,81.0,7.091514981121351,1,BindingDB,C(=Cc1nc(Nc2ccn[nH]2)cc(N2CCNCC2)n1)c1ccccc1
